ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
10590631,8.28E-05,2.33E-09,24.3480977,10.9952,3.4002525,Ccr2,chemokine (C-C motif) receptor 2
10347218,0.0001095,1.88E-08,19.1144934,9.5805,3.3174225,,
10472235,0.0001095,2.51E-08,-18.4768094,9.363,-4.8362675,Dapl1,death associated protein-like 1
10587792,0.0001095,2.7E-08,18.3229271,9.3087,2.4277875,Plscr1,phospholipid scramblase 1
10381460,0.0001095,2.8E-08,18.2458224,9.2813,2.0221525,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10381470,0.0001095,2.8E-08,18.2458224,9.2813,2.0221525,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10381472,0.0001095,2.8E-08,18.2458224,9.2813,2.0221525,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10391488,0.0001095,2.8E-08,18.2458224,9.2813,2.0221525,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10461369,0.0001095,3.14E-08,18.0038164,9.1939,1.9948525,Ahnak,AHNAK nucleoprotein (desmoyokin)
10347220,0.0001095,3.7E-08,17.6586318,9.0661,2.7314525,,
10347224,0.0001095,3.7E-08,17.6586318,9.0661,2.7314525,,
10379650,0.0001095,3.7E-08,17.6586318,9.0661,2.7314525,,
10582997,0.0001095,4E-08,17.4965619,9.0047,4.00818,Casp4,"caspase 4, apoptosis-related cysteine peptidase"
10594513,0.0001301,5.39E-08,16.9000109,8.7712,4.5688425,,
10381458,0.0001301,6.07E-08,16.6654603,8.676,1.9737175,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10497886,0.0001301,6.16E-08,16.6366151,8.6642,4.06236,Il21,interleukin 21
10347222,0.0001301,6.4E-08,16.5608666,8.633,2.754935,,
10351197,0.0001301,6.59E-08,-16.505591,8.61,-3.7400775,Sell,"selectin, lymphocyte"
10482484,0.0001333,7.12E-08,-16.3549884,8.5469,-2.08392,,
10513729,0.0001464,8.23E-08,16.078778,8.429,1.7990325,Tnfsf8,"tumor necrosis factor (ligand) superfamily, member 8"
10578688,0.0001962,1.16E-07,15.4450951,8.1472,2.09275,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10603736,0.0001967,1.22E-07,15.3561847,8.1063,1.8906725,Rdm1///Rnu2-10,RAD52 motif 1///U2 small nuclear RNA 10
10589884,0.0002031,1.34E-07,15.1820696,8.0253,2.4254775,Bcl2a1c,B cell leukemia/lymphoma 2 related protein A1c
10454015,0.0002031,1.42E-07,15.07535,7.975,2.6106,Ttc39c,tetratricopeptide repeat domain 39C
10468309,0.0002031,1.43E-07,-15.0690207,7.972,-3.76683,Sh3pxd2a,SH3 and PX domains 2A
10582985,0.0002039,1.53E-07,14.9507506,7.9157,4.4022975,Casp1,caspase 1
10523182,0.0002039,1.57E-07,14.9014115,7.892,3.1280075,Areg,amphiregulin
10345807,0.0002039,1.63E-07,14.8367592,7.8608,2.2851625,Il18r1,interleukin 18 receptor 1
10424400,0.0002039,1.66E-07,-14.800985,7.8434,-1.9107025,Myc,myelocytomatosis oncogene
10485405,0.000206,1.74E-07,14.7234755,7.8057,2.3069725,Cd44,CD44 antigen
