ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
10472235,3.74E-05,2.49E-09,-24.223859,10.972612,-4.77149,Dapl1,death associated protein-like 1
10574023,3.74E-05,3.14E-09,23.5859868,10.827743,2.8821825,Mt2,metallothionein 2
10590631,3.74E-05,3.6E-09,23.2117137,10.73938,3.78321,Ccr2,chemokine (C-C motif) receptor 2
10441530,3.74E-05,4.21E-09,22.7944545,10.637802,2.6509275,Sytl3,synaptotagmin-like 3
10466606,0.0001182,2.07E-08,18.9438649,9.522136,3.1560225,Anxa1,annexin A1
10458589,0.0001182,2.29E-08,18.7188931,9.445397,2.32517,Prelid2,PRELI domain containing 2
10497886,0.0001182,2.57E-08,18.46614,9.357423,4.141235,Il21,interleukin 21
10468309,0.0001182,2.91E-08,-18.1997696,9.262642,-3.68273,Sh3pxd2a,SH3 and PX domains 2A
10513729,0.0001182,2.99E-08,18.1440449,9.24254,2.148515,Tnfsf8,"tumor necrosis factor (ligand) superfamily, member 8"
10570434,0.0001255,3.74E-08,17.6756781,9.069731,3.774725,Ifitm1,interferon induced transmembrane protein 1
10607738,0.0001255,3.94E-08,17.5703196,9.029887,2.708395,Car5b,"carbonic anhydrase 5b, mitochondrial"
10345752,0.0001255,4.4E-08,17.340704,8.941783,3.2799925,Il1r2,"interleukin 1 receptor, type II"
10582997,0.0001255,5.05E-08,17.064192,8.833319,4.2655575,Casp4,"caspase 4, apoptosis-related cysteine peptidase"
10359982,0.0001255,5.5E-08,16.8940702,8.765271,2.3038225,Atf6,activating transcription factor 6
10531415,0.0001255,5.71E-08,16.8205843,8.735561,3.74439,Cxcl10,chemokine (C-X-C motif) ligand 10
10459071,0.0001255,6.2E-08,16.6572764,8.668843,2.56429,Smim3,small integral membrane protein 3
10511939,0.0001255,6.22E-08,-16.652695,8.666958,-2.9007075,Spaca1,sperm acrosome associated 1
10427628,0.0001255,6.35E-08,-16.6111847,8.649838,-3.38911,Il7r,interleukin 7 receptor
10586700,0.0001262,6.74E-08,16.495157,8.601652,2.4506025,Rora,RAR-related orphan receptor alpha
