Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[age]	Characteristics[generation]	Characteristics[cell type]	Characteristics[stimulus]	Characteristics[differentiated]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[generation]	Factor Value[cell type]	Factor Value[stimulus]	Factor Value[differentiated]	Factor Value[time]	Unit[time unit]
GEN0N_A	ERS717114	Mus musculus	6-12 weeks	0	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN0N_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN0N_A	sequencing assay	ERX953040	teichmann_GEN0NA.txt.gz	teichmann_GEN0NA.txt.gz	ERR873434	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873434/ERR873434.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN0NA_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	0	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN0N_B	ERS717103	Mus musculus	6-12 weeks	0	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN0N_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN0N_B	sequencing assay	ERX953029	teichmann_GEN0NB.txt.gz	teichmann_GEN0NB.txt.gz	ERR873427	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873427/ERR873427.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN0NB_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	0	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN2N_A	ERS717119	Mus musculus	6-12 weeks	2	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN2N_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN2N_A	sequencing assay	ERX953045	teichmann_GEN2NA.txt.gz	teichmann_GEN2NA.txt.gz	ERR873426	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873426/ERR873426.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN2NA_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	2	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN2N_B	ERS717120	Mus musculus	6-12 weeks	2	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN2N_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN2N_B	sequencing assay	ERX953046	teichmann_GEN2NB.txt.gz	teichmann_GEN2NB.txt.gz	ERR873438	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873438/ERR873438.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN2NB_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	2	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN4N_A	ERS717110	Mus musculus	6-12 weeks	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN4N_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN4N_A	sequencing assay	ERX953036	teichmann_GEN4NA.txt.gz	teichmann_GEN4NA.txt.gz	ERR873436	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873436/ERR873436.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN4NA_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN4N_B	ERS717118	Mus musculus	6-12 weeks	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN4N_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN4N_B	sequencing assay	ERX953044	teichmann_GEN4NB.txt.gz	teichmann_GEN4NB.txt.gz	ERR873442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873442/ERR873442.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN4NB_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	negative marker	  	.
GEN4P_A	ERS717102	Mus musculus	6-12 weeks	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	positive marker 	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN4P_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN4P_A	sequencing assay	ERX953028	teichmann_GEN4PA.txt.gz	teichmann_GEN4PA.txt.gz	ERR873431	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873431/ERR873431.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN4PA_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	positive marker 	  	.
GEN4P_B	ERS717107	Mus musculus	6-12 weeks	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	positive marker 	  	  	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	GEN4P_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	GEN4P_B	sequencing assay	ERX953033	teichmann_GEN4PB.txt.gz	teichmann_GEN4PB.txt.gz	ERR873433	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873433/ERR873433.fastq.gz	P-MTAB-44554	P-MTAB-44555	GEN4PB_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	4	naive T cells activated (with anti-CD3/CD28) and polarized towards the Th2 subtype with IL4 	anti-CD3/CD28 and polarized towards the Th2 subtype with IL4 	positive marker 	  	.
TH2t0_A	ERS717109	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	0	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t0_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t0_A	sequencing assay	ERX953035	teichmann_TH2t0A.fastq.gz	teichmann_TH2t0A.fastq.gz	ERR873425	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873425/ERR873425.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t0A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	0	hour
TH2t0_B	ERS717116	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	0	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t0_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t0_B	sequencing assay	ERX953042	teichmann_TH2t0B.fastq.gz	teichmann_TH2t0B.fastq.gz	ERR873441	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873441/ERR873441.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t0B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	0	hour
