MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		activated T cell proliferation			IMP	MGI:3525886 	J:154821 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		alpha-beta T cell differentiation	results in the differentiation of DN4 thymocyte		IGI	MGI:87860 	J:154821 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of T cell differentiation			IMP		J:175086 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		alpha-beta T cell differentiation	results in the differentiation of DN4 thymocyte		IGI	MGI:87859 	J:154821 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of alpha-beta T cell differentiation	regulates the differentiation of thymocyte		IMP	MGI:1857117 	J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of alpha-beta T cell differentiation	regulates the differentiation of thymocyte		IMP		J:107216 J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell activation	regulates a function/process that happens in T cell		IMP	MGI:1857117 MGI:2683027 	J:63086 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell activation	regulates a function/process that happens in CD4-positive, alpha-beta T cell|regulates a function/process that happens in CD8-positive, alpha-beta T cell		IMP	MGI:1857117 MGI:2683027 	J:110739 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation	happens in liver,regulates the differentiation of T cell		IMP	MGI:1857117 	J:25085 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation	happens in thymus,regulates the differentiation of T cell		IMP	MGI:1857117 MGI:2683027 	J:73418 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP	MGI:1857117 	J:115112 J:131709 	
