MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		activated T cell proliferation			IMP	MGI:3525886 	J:154821 	
MGI:87930	Adk	adenosine kinase	14		positive regulation of T cell proliferation			ISO	RGD:2046 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of activated T cell proliferation			ISO	Q15109 	J:164563 	
MGI:1343098	Aif1	allograft inflammatory factor 1	17		positive regulation of T cell proliferation			ISO	P55008 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T cell proliferation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T cell proliferation			ISO	P04083 	J:164563 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of activated T cell proliferation			IMP		J:243399 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of T cell proliferation			ISO	P05089 	J:164563 	
MGI:1330806	Arg2	arginase type II	12		negative regulation of CD4-positive, alpha-beta T cell proliferation			IMP		J:243479 	
MGI:2384586	Armc5	armadillo repeat containing 5	7		T cell proliferation	happens in CD4-positive, alpha-beta T cell,results in the development of T-helper 1 cell|happens in CD4-positive, alpha-beta T cell,results in the development of T-helper 17 cell		IMP	MGI:6098706 	J:244662 	
MGI:99702	Bax	BCL2-associated X protein	7		T cell homeostatic proliferation	affects a population of common lymphoid progenitor		IMP	MGI:1857429 	J:42051 	
MGI:99702	Bax	BCL2-associated X protein	7		T cell homeostatic proliferation			IMP	MGI:1857429 	J:29253 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		positive regulation of alpha-beta T cell proliferation	regulates a function/process that happens in thymus,regulates the proliferation of DN4 thymocyte|regulates a function/process that happens in thymus,regulates the proliferation of DN3 thymocyte		IMP	MGI:3053044 MGI:3663359 	J:118992 	
MGI:88174	Bmi1	Bmi1 polycomb ring finger oncogene	2		positive regulation of immature T cell proliferation in thymus			IMP		J:105559 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		negative regulation of immature T cell proliferation in thymus			ISO	P12644 	J:164563 	
MGI:2658978	Btla	B and T lymphocyte associated	16		negative regulation of alpha-beta T cell proliferation			IMP	MGI:3027713 	J:94873 	
MGI:2658978	Btla	B and T lymphocyte associated	16		negative regulation of T cell proliferation			IMP	MGI:3027713 	J:84084 	
MGI:103118	Btn1a1	butyrophilin, subfamily 1, member A1	13		negative regulation of activated T cell proliferation			IDA		J:160063 	
MGI:3606486	Btn2a2	butyrophilin, subfamily 2, member A2	13		negative regulation of activated T cell proliferation			IDA		J:160063 J:202549 	
MGI:1859549	Btnl2	butyrophilin-like 2	17		positive regulation of T cell proliferation			IMP		J:132222 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		positive regulation of T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:3039682 	J:89322 	
MGI:2685431	Carmil2	capping protein regulator and myosin 1 linker 2	8		positive regulation of T cell proliferation			IMP	MGI:5547539 	J:205441 	
MGI:107739	Casp3	caspase 3	8		negative regulation of activated T cell proliferation			IMP	MGI:2178778 	J:85809 	
MGI:2146430	Cblb	Casitas B-lineage lymphoma b	16		negative regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2180572 	J:89097 	
MGI:1925567	Ccdc88b	coiled-coil domain containing 88B	19		positive regulation of T cell proliferation			IMP		J:230618 	
