"Time" "Replicate" "CD4-arm" "CD4-cl13" "CD8-arm" "CD8-cl13"
"craw_CD4-None_0_1" 0 1 1 1 0 0
"craw_CD4-None_0_2" 0 1 1 1 0 0
"craw_CD4-None_0_3" 0 1 1 1 0 0
"craw_CD4-None_0_4" 0 1 1 1 0 0
"craw_CD8-None_0_1" 0 2 0 0 1 1
"craw_CD8-None_0_2" 0 2 0 0 1 1
"craw_CD8-None_0_3" 0 2 0 0 1 1
"craw_CD8-None_0_4" 0 2 0 0 1 1
"craw_CD4-arm_6_1" 6 3 1 0 0 0
"craw_CD4-arm_6_2" 6 3 1 0 0 0
"craw_CD4-arm_6_3" 6 3 1 0 0 0
"craw_CD4-cl13_6_1" 6 4 0 1 0 0
"craw_CD4-cl13_6_2" 6 4 0 1 0 0
"craw_CD4-cl13_6_3" 6 4 0 1 0 0
"craw_CD4-cl13_6_4" 6 4 0 1 0 0
"craw_CD8-arm_6_1" 6 5 0 0 1 0
"craw_CD8-arm_6_2" 6 5 0 0 1 0
"craw_CD8-arm_6_3" 6 5 0 0 1 0
"craw_CD8-arm_6_4" 6 5 0 0 1 0
"craw_CD8-cl13_6_1" 6 6 0 0 0 1
"craw_CD8-cl13_6_2" 6 6 0 0 0 1
"craw_CD8-cl13_6_3" 6 6 0 0 0 1
"craw_CD8-cl13_6_4" 6 6 0 0 0 1
"craw_CD4-arm_8_1" 8 7 1 0 0 0
"craw_CD4-arm_8_2" 8 7 1 0 0 0
"craw_CD4-arm_8_3" 8 7 1 0 0 0
"craw_CD4-arm_8_4" 8 7 1 0 0 0
"craw_CD4-cl13_8_1" 8 8 0 1 0 0
"craw_CD4-cl13_8_2" 8 8 0 1 0 0
"craw_CD4-cl13_8_3" 8 8 0 1 0 0
"craw_CD4-cl13_8_4" 8 8 0 1 0 0
"craw_CD8-arm_8_1" 8 9 0 0 1 0
"craw_CD8-arm_8_2" 8 9 0 0 1 0
"craw_CD8-arm_8_3" 8 9 0 0 1 0
"craw_CD8-arm_8_4" 8 9 0 0 1 0
"craw_CD8-cl13_8_1" 8 10 0 0 0 1
"craw_CD8-cl13_8_2" 8 10 0 0 0 1
"craw_CD8-cl13_8_3" 8 10 0 0 0 1
"craw_CD8-cl13_8_4" 8 10 0 0 0 1
"craw_CD4-arm_15_1" 15 11 1 0 0 0
"craw_CD4-arm_15_2" 15 11 1 0 0 0
"craw_CD4-arm_15_3" 15 11 1 0 0 0
"craw_CD4-arm_15_4" 15 11 1 0 0 0
"craw_CD4-cl13_15_1" 15 12 0 1 0 0
"craw_CD4-cl13_15_2" 15 12 0 1 0 0
"craw_CD4-cl13_15_3" 15 12 0 1 0 0
"craw_CD4-cl13_15_4" 15 12 0 1 0 0
"craw_CD8-arm_15_1" 15 13 0 0 1 0
"craw_CD8-arm_15_2" 15 13 0 0 1 0
"craw_CD8-arm_15_3" 15 13 0 0 1 0
"craw_CD8-arm_15_4" 15 13 0 0 1 0
"craw_CD8-cl13_15_1" 15 14 0 0 0 1
"craw_CD8-cl13_15_2" 15 14 0 0 0 1
"craw_CD8-cl13_15_3" 15 14 0 0 0 1
"craw_CD8-cl13_15_4" 15 14 0 0 0 1
"craw_CD4-arm_30_1" 30 15 1 0 0 0
"craw_CD4-arm_30_2" 30 15 1 0 0 0
"craw_CD4-arm_30_3" 30 15 1 0 0 0
"craw_CD4-arm_30_4" 30 15 1 0 0 0
"craw_CD4-cl13_30_1" 30 16 0 1 0 0
"craw_CD4-cl13_30_2" 30 16 0 1 0 0
"craw_CD4-cl13_30_3" 30 16 0 1 0 0
"craw_CD4-cl13_30_4" 30 16 0 1 0 0
"craw_CD8-arm_30_1" 30 17 0 0 1 0
"craw_CD8-arm_30_2" 30 17 0 0 1 0
"craw_CD8-arm_30_3" 30 17 0 0 1 0
"craw_CD8-arm_30_4" 30 17 0 0 1 0
"craw_CD8-cl13_30_1" 30 18 0 0 0 1
"craw_CD8-cl13_30_2" 30 18 0 0 0 1
"craw_CD8-cl13_30_3" 30 18 0 0 0 1
"craw_CD8-cl13_30_4" 30 18 0 0 0 1
