"Time" "Replicate" "Th0" "Th17"
"nir_Th0_0.5_1" 0.5 1 1 0
"nir_Th17_0.5_1" 0.5 2 0 1
"nir_Th0_1_1" 1 3 1 0
"nir_Th17_1_1" 1 4 0 1
"nir_Th0_2_1" 2 5 1 0
"nir_Th17_2_1" 2 6 0 1
"nir_Th0_4_1" 4 7 1 0
"nir_Th17_4_1" 4 8 0 1
"nir_Th0_6_1" 6 9 1 0
"nir_Th17_6_1" 6 10 0 1
"nir_Th0_8_1" 8 11 1 0
"nir_Th17_8_1" 8 12 0 1
"nir_Th0_10_1" 10 13 1 0
"nir_Th17_10_1" 10 14 0 1
"nir_Th0_12_1" 12 15 1 0
"nir_Th17_12_1" 12 16 0 1
"nir_Th0_16_1" 16 17 1 0
"nir_Th17_16_1" 16 18 0 1
"nir_Th0_20_1" 20 19 1 0
"nir_Th17_20_1" 20 20 0 1
"nir_Th0_24_1" 24 21 1 0
"nir_Th17_24_1" 24 22 0 1
"nir_Th0_30_1" 30 23 1 0
"nir_Th17_30_1" 30 24 0 1
"nir_Th0_42_1" 42 25 1 0
"nir_Th17_42_1" 42 26 0 1
"nir_Th0_48_1" 48 27 1 0
"nir_Th17_48_1" 48 28 0 1
"nir_Th0_50_1" 50 29 1 0
"nir_Th17_50_1" 50 30 0 1
"nir_Th0_52_1" 52 31 1 0
"nir_Th17_52_1" 52 32 0 1
"nir_Th0_60_1" 60 33 1 0
"nir_Th17_60_1" 60 34 0 1
"nir_Th0_72_1" 72 35 1 0
"nir_Th17_72_1" 72 36 0 1
