"Time" "Replicate" "Th0" "Th1" "Th2" "ThMix"
"Peine_Th0_0_1" 0 1 1 0 0 0
"Peine_Th1_0_1" 0 2 0 1 0 0
"Peine_Th2_0_1" 0 3 0 0 1 0
"Peine_ThMix_0_1" 0 4 0 0 0 1
"Peine_Th0_3_1" 3 5 1 0 0 0
"Peine_Th1_3_1" 3 6 0 1 0 0
"Peine_Th2_3_1" 3 7 0 0 1 0
"Peine_ThMix_3_1" 3 8 0 0 0 1
"Peine_Th0_6_1" 6 9 1 0 0 0
"Peine_Th1_6_1" 6 10 0 1 0 0
"Peine_Th2_6_1" 6 11 0 0 1 0
"Peine_ThMix_6_1" 6 12 0 0 0 1
"Peine_Th0_12_1" 12 13 1 0 0 0
"Peine_Th1_12_1" 12 14 0 1 0 0
"Peine_Th2_12_1" 12 15 0 0 1 0
"Peine_ThMix_12_1" 12 16 0 0 0 1
"Peine_Th0_24_1" 24 17 1 0 0 0
"Peine_Th1_24_1" 24 18 0 1 0 0
"Peine_Th2_24_1" 24 19 0 0 1 0
"Peine_ThMix_24_1" 24 20 0 0 0 1
"Peine_Th0_35_1" 35 21 1 0 0 0
"Peine_Th1_35_1" 35 22 0 1 0 0
"Peine_Th2_35_1" 35 23 0 0 1 0
"Peine_ThMix_35_1" 35 24 0 0 0 1
"Peine_Th0_48_1" 48 25 1 0 0 0
"Peine_Th1_48_1" 48 26 0 1 0 0
"Peine_Th2_48_1" 48 27 0 0 1 0
"Peine_ThMix_48_1" 48 28 0 0 0 1
"Peine_Th0_73_1" 73 29 1 0 0 0
"Peine_Th1_73_1" 73 30 0 1 0 0
"Peine_Th2_73_1" 73 31 0 0 1 0
"Peine_ThMix_73_1" 73 32 0 0 0 1
"Peine_Th0_96_1" 96 33 1 0 0 0
"Peine_Th1_96_1" 96 34 0 1 0 0
"Peine_Th2_96_1" 96 35 0 0 1 0
"Peine_ThMix_96_1" 96 36 0 0 0 1
"Peine_Th0_120_1" 120 37 1 0 0 0
"Peine_Th1_120_1" 120 38 0 1 0 0
"Peine_Th2_120_1" 120 39 0 0 1 0
"Peine_ThMix_120_1" 120 40 0 0 0 1
