"Time" "Replicate" "innate"
"Powrie_innate_0_1" 0 1 1
"Powrie_innate_0_5" 0 1 1
"Powrie_innate_0_2" 0 1 1
"Powrie_innate_0_3" 0 1 1
"Powrie_innate_0_4" 0 1 1
"Powrie_innate_1_1" 1 2 1
"Powrie_innate_1_4" 1 2 1
"Powrie_innate_1_2" 1 2 1
"Powrie_innate_1_3" 1 2 1
"Powrie_innate_3_2" 3 3 1
"Powrie_innate_3_1" 3 3 1
"Powrie_innate_3_4" 3 3 1
"Powrie_innate_3_3" 3 3 1
"Powrie_innate_6_1" 6 4 1
"Powrie_innate_6_3" 6 4 1
"Powrie_innate_6_4" 6 4 1
"Powrie_innate_6_2" 6 4 1
"Powrie_innate_14_4" 14 5 1
"Powrie_innate_14_1" 14 5 1
"Powrie_innate_14_3" 14 5 1
"Powrie_innate_14_2" 14 5 1
"Powrie_innate_21_4" 21 6 1
"Powrie_innate_21_3" 21 6 1
"Powrie_innate_21_2" 21 6 1
"Powrie_innate_21_1" 21 6 1
"Powrie_innate_28_2" 28 7 1
"Powrie_innate_28_3" 28 7 1
"Powrie_innate_28_4" 28 7 1
"Powrie_innate_28_1" 28 7 1
