"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10439299"	"0.00000135"	"3.81e-11"	"37.3352233"	"14.35711"	"5.4879025"	"Stfa3"	"stefin A3"
"10497886"	"0.00000839"	"4.72e-10"	"28.1290943"	"12.85529"	"4.081345"	"Il21"	"interleukin 21"
"10574023"	"0.00001269"	"1.07e-09"	"25.6457392"	"12.2847"	"4.059435"	"Mt2"	"metallothionein 2"
"10474984"	"0.00002262"	"3.45e-09"	"22.4656022"	"11.40492"	"3.0474775"	"Nusap1"	"nucleolar and spindle associated protein 1"
"10472235"	"0.00002262"	"3.59e-09"	"-22.3658172"	"11.37414"	"-5.387735"	"Dapl1"	"death associated protein-like 1"
"10439790"	"0.00002262"	"3.82e-09"	"-22.2090181"	"11.32535"	"-4.447495"	"Trat1"	"T cell receptor associated transmembrane adaptor 1"
"10350733"	"0.00002284"	"5.33e-09"	"21.3839179"	"11.05968"	"3.1274425"	"Rgs16"	"regulator of G-protein signaling 16"
"10365933"	"0.00002284"	"6.05e-09"	"21.0768858"	"10.95684"	"4.76663"	"Eea1"	"early endosome antigen 1"
"10586700"	"0.00002284"	"6.22e-09"	"21.0119775"	"10.93481"	"2.5203625"	"Rora"	"RAR-related orphan receptor alpha"
"10345752"	"0.00002284"	"6.42e-09"	"20.9340732"	"10.90824"	"3.7298575"	"Il1r2"	"interleukin 1 receptor, type II"
"10482795"	"0.00002628"	"9.30e-09"	"20.0708684"	"10.60373"	"4.05979"	"Ermn"	"ermin, ERM-like protein"
"10607738"	"0.00002628"	"1.05e-08"	"19.7979225"	"10.50345"	"2.96657"	"Car5b"	"carbonic anhydrase 5b, mitochondrial"
"10352178"	"0.00002628"	"1.08e-08"	"19.7332623"	"10.4794"	"3.6484725"	"Sccpdh"	"saccharopine dehydrogenase (putative)"
"10523182"	"0.00002628"	"1.11e-08"	"19.6803755"	"10.45965"	"4.26146"	"Areg"	"amphiregulin"
"10427628"	"0.00002628"	"1.11e-08"	"-19.6740861"	"10.4573"	"-2.8731575"	"Il7r"	"interleukin 7 receptor"
"10422598"	"0.00002674"	"1.28e-08"	"-19.3616619"	"10.33899"	"-2.2299675"	"Sepp1"	"selenoprotein P, plasma, 1"
"10587792"	"0.00002674"	"1.33e-08"	"19.2675083"	"10.3028"	"2.790555"	"Plscr1"	"phospholipid scramblase 1"
"10454015"	"0.00002674"	"1.42e-08"	"19.1256574"	"10.2478"	"2.311125"	"Ttc39c"	"tetratricopeptide repeat domain 39C"
"10501020"	"0.00002674"	"1.50e-08"	"19.0045992"	"10.20041"	"3.5479775"	"Chil3"	"chitinase-like 3"
"10416037"	"0.00002674"	"1.53e-08"	"18.9579061"	"10.18202"	"2.6834175"	"Pbk"	"PDZ binding kinase"
"10468309"	"0.00002674"	"1.58e-08"	"-18.8956979"	"10.15742"	"-3.8461825"	"Sh3pxd2a"	"SH3 and PX domains 2A"
"10458589"	"0.00002731"	"1.69e-08"	"18.7506147"	"10.0996"	"2.64057"	"Prelid2"	"PRELI domain containing 2"
"10406968"	"0.00003698"	"2.39e-08"	"18.0207476"	"9.79904"	"3.5306225"	"Cenpk"	"centromere protein K"
